"constant fatigue, joint stiffness, symmetrical swelling, tender hands, low-grade fever",Rheumatoid Arthritis (RA)
"symmetrical joint pain, morning stiffness, hand swelling, persistent fatigue, warm joints",Rheumatoid Arthritis (RA)
"sharp pain lower right abdomen, fever, nausea, vomiting, loss of appetite",Appendicitis
"pain starting near belly button, moving to lower right, vomiting, low-grade fever",Appendicitis
"severe lower right abdominal pain, loss of appetite, nausea, rebound tenderness, fever",Appendicitis
"vomiting, sharp pain in lower abdomen, fever, nausea, inability to pass gas",Appendicitis
"pain intensifying in lower right quadrant, loss of appetite, mild fever, guarding",Appendicitis
"sharp pain lower right abdomen, fever, nausea, vomiting, loss of appetite",Appendicitis
"pain starting near belly button, moving to lower right, vomiting, low-grade fever",Appendicitis
"severe lower right abdominal pain, loss of appetite, nausea, rebound tenderness, fever",Appendicitis
"vomiting, sharp pain in lower abdomen, fever, nausea, inability to pass gas",Appendicitis
"pain intensifying in lower right quadrant, loss of appetite, mild fever, guarding",Appendicitis
"sharp pain lower right abdomen, fever, nausea, vomiting, loss of appetite",Appendicitis
"pain starting near belly button, moving to lower right, vomiting, low-grade fever",Appendicitis
"severe lower right abdominal pain, loss of appetite, nausea, rebound tenderness, fever",Appendicitis
"vomiting, sharp pain in lower abdomen, fever, nausea, inability to pass gas",Appendicitis
"pain intensifying in lower right quadrant, loss of appetite, mild fever, guarding",Appendicitis
"sharp pain lower right abdomen, fever, nausea, vomiting, loss of appetite",Appendicitis
"pain starting near belly button, moving to lower right, vomiting, low-grade fever",Appendicitis
"severe lower right abdominal pain, loss of appetite, nausea, rebound tenderness, fever",Appendicitis
"vomiting, sharp pain in lower abdomen, fever, nausea, inability to pass gas",Appendicitis
"pain intensifying in lower right quadrant, loss of appetite, mild fever, guarding",Appendicitis
"sharp pain lower right abdomen, fever, nausea, vomiting, loss of appetite",Appendicitis
"pain starting near belly button, moving to lower right, vomiting, low-grade fever",Appendicitis
"severe lower right abdominal pain, loss of appetite, nausea, rebound tenderness, fever",Appendicitis
"vomiting, sharp pain in lower abdomen, fever, nausea, inability to pass gas",Appendicitis
"pain intensifying in lower right quadrant, loss of appetite, mild fever, guarding",Appendicitis
"sharp pain lower right abdomen, fever, nausea, vomiting, loss of appetite",Appendicitis
"pain starting near belly button, moving to lower right, vomiting, low-grade fever",Appendicitis
"severe lower right abdominal pain, loss of appetite, nausea, rebound tenderness, fever",Appendicitis
"vomiting, sharp pain in lower abdomen, fever, nausea, inability to pass gas",Appendicitis
"pain intensifying in lower right quadrant, loss of appetite, mild fever, guarding",Appendicitis
"sharp pain lower right abdomen, fever, nausea, vomiting, loss of appetite",Appendicitis
"pain starting near belly button, moving to lower right, vomiting, low-grade fever",Appendicitis
"severe lower right abdominal pain, loss of appetite, nausea, rebound tenderness, fever",Appendicitis
"vomiting, sharp pain in lower abdomen, fever, nausea, inability to pass gas",Appendicitis
"pain intensifying in lower right quadrant, loss of appetite, mild fever, guarding",Appendicitis
"sharp pain lower right abdomen, fever, nausea, vomiting, loss of appetite",Appendicitis
"pain starting near belly button, moving to lower right, vomiting, low-grade fever",Appendicitis
"severe lower right abdominal pain, loss of appetite, nausea, rebound tenderness, fever",Appendicitis
"vomiting, sharp pain in lower abdomen, fever, nausea, inability to pass gas",Appendicitis
"pain intensifying in lower right quadrant, loss of appetite, mild fever, guarding",Appendicitis
"shortness of breath, wheezing, chest tightness, coughing at night, difficulty breathing",Asthma
"difficulty breathing, chronic wheezing, persistent cough, chest tightness after exercise",Asthma
"tightness in chest, whistling sound when breathing, coughing, shortness of breath, mucus",Asthma
"coughing that worsens at night, wheezing, breathlessness, chest tightness, triggers",Asthma
"shortness of breath, wheezing, tight chest, constant cough, exercise intolerance",Asthma
"shortness of breath, wheezing, chest tightness, coughing at night, difficulty breathing",Asthma
"difficulty breathing, chronic wheezing, persistent cough, chest tightness after exercise",Asthma
"tightness in chest, whistling sound when breathing, coughing, shortness of breath, mucus",Asthma
"coughing that worsens at night, wheezing, breathlessness, chest tightness, triggers",Asthma
"shortness of breath, wheezing, tight chest, constant cough, exercise intolerance",Asthma
"shortness of breath, wheezing, chest tightness, coughing at night, difficulty breathing",Asthma
"difficulty breathing, chronic wheezing, persistent cough, chest tightness after exercise",Asthma
"tightness in chest, whistling sound when breathing, coughing, shortness of breath, mucus",Asthma
"coughing that worsens at night, wheezing, breathlessness, chest tightness, triggers",Asthma
"shortness of breath, wheezing, tight chest, constant cough, exercise intolerance",Asthma
"shortness of breath, wheezing, chest tightness, coughing at night, difficulty breathing",Asthma
"difficulty breathing, chronic wheezing, persistent cough, chest tightness after exercise",Asthma
"tightness in chest, whistling sound when breathing, coughing, shortness of breath, mucus",Asthma
"coughing that worsens at night, wheezing, breathlessness, chest tightness, triggers",Asthma
"shortness of breath, wheezing, tight chest, constant cough, exercise intolerance",Asthma
"shortness of breath, wheezing, chest tightness, coughing at night, difficulty breathing",Asthma
"difficulty breathing, chronic wheezing, persistent cough, chest tightness after exercise",Asthma
"tightness in chest, whistling sound when breathing, coughing, shortness of breath, mucus",Asthma
"coughing that worsens at night, wheezing, breathlessness, chest tightness, triggers",Asthma
"shortness of breath, wheezing, tight chest, constant cough, exercise intolerance",Asthma
"shortness of breath, wheezing, chest tightness, coughing at night, difficulty breathing",Asthma
"difficulty breathing, chronic wheezing, persistent cough, chest tightness after exercise",Asthma
"tightness in chest, whistling sound when breathing, coughing, shortness of breath, mucus",Asthma
"coughing that worsens at night, wheezing, breathlessness, chest tightness, triggers",Asthma
"shortness of breath, wheezing, tight chest, constant cough, exercise intolerance",Asthma
"shortness of breath, wheezing, chest tightness, coughing at night, difficulty breathing",Asthma
"difficulty breathing, chronic wheezing, persistent cough, chest tightness after exercise",Asthma
"tightness in chest, whistling sound when breathing, coughing, shortness of breath, mucus",Asthma
"coughing that worsens at night, wheezing, breathlessness, chest tightness, triggers",Asthma
"shortness of breath, wheezing, tight chest, constant cough, exercise intolerance",Asthma
"shortness of breath, wheezing, chest tightness, coughing at night, difficulty breathing",Asthma
"difficulty breathing, chronic wheezing, persistent cough, chest tightness after exercise",Asthma
"tightness in chest, whistling sound when breathing, coughing, shortness of breath, mucus",Asthma
"coughing that worsens at night, wheezing, breathlessness, chest tightness, triggers",Asthma
"shortness of breath, wheezing, tight chest, constant cough, exercise intolerance",Asthma
"excessive thirst, frequent urination, blurred vision, slow-healing sores, fatigue",Diabetes (Uncontrolled Type 2)
"constant thirst, frequent need to urinate, unexplained weight loss, extreme fatigue",Diabetes (Uncontrolled Type 2)
"blurred vision, excessive thirst, persistent hunger, slow-healing cuts, lethargy",Diabetes (Uncontrolled Type 2)
"frequent urination at night, unquenchable thirst, fatigue, numbness in feet, hunger",Diabetes (Uncontrolled Type 2)
"fatigue, excessive thirst, slow wound healing, blurred vision, frequent urination",Diabetes (Uncontrolled Type 2)
"excessive thirst, frequent urination, blurred vision, slow-healing sores, fatigue",Diabetes (Uncontrolled Type 2)
"constant thirst, frequent need to urinate, unexplained weight loss, extreme fatigue",Diabetes (Uncontrolled Type 2)
"blurred vision, excessive thirst, persistent hunger, slow-healing cuts, lethargy",Diabetes (Uncontrolled Type 2)
"frequent urination at night, unquenchable thirst, fatigue, numbness in feet, hunger",Diabetes (Uncontrolled Type 2)
"fatigue, excessive thirst, slow wound healing, blurred vision, frequent urination",Diabetes (Uncontrolled Type 2)
"excessive thirst, frequent urination, blurred vision, slow-healing sores, fatigue",Diabetes (Uncontrolled Type 2)
"constant thirst, frequent need to urinate, unexplained weight loss, extreme fatigue",Diabetes (Uncontrolled Type 2)
"blurred vision, excessive thirst, persistent hunger, slow-healing cuts, lethargy",Diabetes (Uncontrolled Type 2)
"frequent urination at night, unquenchable thirst, fatigue, numbness in feet, hunger",Diabetes (Uncontrolled Type 2)
"fatigue, excessive thirst, slow wound healing, blurred vision, frequent urination",Diabetes (Uncontrolled Type 2)
"excessive thirst, frequent urination, blurred vision, slow-healing sores, fatigue",Diabetes (Uncontrolled Type 2)
"constant thirst, frequent need to urinate, unexplained weight loss, extreme fatigue",Diabetes (Uncontrolled Type 2)
"blurred vision, excessive thirst, persistent hunger, slow-healing cuts, lethargy",Diabetes (Uncontrolled Type 2)
"frequent urination at night, unquenchable thirst, fatigue, numbness in feet, hunger",Diabetes (Uncontrolled Type 2)
"fatigue, excessive thirst, slow wound healing, blurred vision, frequent urination",Diabetes (Uncontrolled Type 2)
"excessive thirst, frequent urination, blurred vision, slow-healing sores, fatigue",Diabetes (Uncontrolled Type 2)
"constant thirst, frequent need to urinate, unexplained weight loss, extreme fatigue",Diabetes (Uncontrolled Type 2)
"blurred vision, excessive thirst, persistent hunger, slow-healing cuts, lethargy",Diabetes (Uncontrolled Type 2)
"frequent urination at night, unquenchable thirst, fatigue, numbness in feet, hunger",Diabetes (Uncontrolled Type 2)
"fatigue, excessive thirst, slow wound healing, blurred vision, frequent urination",Diabetes (Uncontrolled Type 2)
"excessive thirst, frequent urination, blurred vision, slow-healing sores, fatigue",Diabetes (Uncontrolled Type 2)
"constant thirst, frequent need to urinate, unexplained weight loss, extreme fatigue",Diabetes (Uncontrolled Type 2)
"blurred vision, excessive thirst, persistent hunger, slow-healing cuts, lethargy",Diabetes (Uncontrolled Type 2)
"frequent urination at night, unquenchable thirst, fatigue, numbness in feet, hunger",Diabetes (Uncontrolled Type 2)
"fatigue, excessive thirst, slow wound healing, blurred vision, frequent urination",Diabetes (Uncontrolled Type 2)
"excessive thirst, frequent urination, blurred vision, slow-healing sores, fatigue",Diabetes (Uncontrolled Type 2)
"constant thirst, frequent need to urinate, unexplained weight loss, extreme fatigue",Diabetes (Uncontrolled Type 2)
"blurred vision, excessive thirst, persistent hunger, slow-healing cuts, lethargy",Diabetes (Uncontrolled Type 2)
"frequent urination at night, unquenchable thirst, fatigue, numbness in feet, hunger",Diabetes (Uncontrolled Type 2)
"fatigue, excessive thirst, slow wound healing, blurred vision, frequent urination",Diabetes (Uncontrolled Type 2)
"excessive thirst, frequent urination, blurred vision, slow-healing sores, fatigue",Diabetes (Uncontrolled Type 2)
"constant thirst, frequent need to urinate, unexplained weight loss, extreme fatigue",Diabetes (Uncontrolled Type 2)
"blurred vision, excessive thirst, persistent hunger, slow-healing cuts, lethargy",Diabetes (Uncontrolled Type 2)
"frequent urination at night, unquenchable thirst, fatigue, numbness in feet, hunger",Diabetes (Uncontrolled Type 2)
"fatigue, excessive thirst, slow wound healing, blurred vision, frequent urination",Diabetes (Uncontrolled Type 2)
"high fever, productive cough with colored phlegm, chest pain, difficulty breathing, chills",Pneumonia
"severe chills, wet cough, shortness of breath, chest pain when deep breath, fatigue",Pneumonia
"productive cough, high fever, sharp chest pain, rapid shallow breathing, clammy skin",Pneumonia
"fever, cough with yellow mucus, severe chest pain, shortness of breath, body aches",Pneumonia
"cough with colored phlegm, chills, fever, chest soreness, rapid breathing",Pneumonia
"high fever, productive cough with colored phlegm, chest pain, difficulty breathing, chills",Pneumonia
"severe chills, wet cough, shortness of breath, chest pain when deep breath, fatigue",Pneumonia
"productive cough, high fever, sharp chest pain, rapid shallow breathing, clammy skin",Pneumonia
"fever, cough with yellow mucus, severe chest pain, shortness of breath, body aches",Pneumonia
